# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 09:46:21
# time	ch1
2.348618399999999606e-01	4.603542311150569666e-01
2.349570799999999848e-01	3.566924770091511321e-01
2.350523199999999813e-01	2.419241063918982082e-01
2.351475599999999777e-01	1.604755853086864692e-01
2.352427999999999741e-01	6.421824221034534708e-02
2.353380399999999706e-01	-2.833689538421343967e-02
2.354332799999999670e-01	-1.208920329787722264e-01
2.355285199999999635e-01	-2.504692256111545334e-01
2.356237599999999599e-01	-3.504287742132780048e-01
2.357189999999999841e-01	-4.170684732813603190e-01
2.358142399999999805e-01	-5.133258163797014273e-01
2.359094799999999770e-01	-6.206897759893896804e-01
2.360047199999999734e-01	-7.206493245915132073e-01
2.360999599999999699e-01	-8.280132842012013494e-01
2.361951999999999663e-01	-9.094618052844131162e-01
2.362904399999999627e-01	1.023089467689974441e+00
2.363856799999999869e-01	9.268321245916332218e-01
2.364809199999999834e-01	8.416813980046391475e-01
2.365761599999999798e-01	7.417218494025156206e-01
2.366713999999999762e-01	6.676777393268685801e-01
2.367666399999999727e-01	5.418027521982686778e-01
2.368618799999999691e-01	4.603542311150569666e-01
2.369571199999999656e-01	3.455858604978040427e-01
2.370523599999999620e-01	2.641373394145923315e-01
2.371475999999999862e-01	1.678799963162511955e-01
2.372428399999999826e-01	6.792044771412769633e-02
2.373380799999999791e-01	-2.093248437664873771e-02
2.374333199999999755e-01	-1.208920329787722264e-01
2.375285599999999719e-01	-2.430648146035898349e-01
2.376237999999999684e-01	-3.208111301830192108e-01
2.377190399999999648e-01	-4.281750897927074084e-01
2.378142799999999613e-01	-5.170280218834838459e-01
2.379095199999999855e-01	-6.169875704856072618e-01
2.380047599999999819e-01	-7.243515300952955149e-01
2.380999999999999783e-01	-8.169066676898543156e-01
2.381952399999999748e-01	-8.798441612541543222e-01
2.382904799999999712e-01	1.026791673193756749e+00
2.383857199999999676e-01	9.379387411029802557e-01
2.384809599999999641e-01	8.379791925008568398e-01
2.385761999999999605e-01	7.491262604100803468e-01
2.386714399999999847e-01	6.602733283193039648e-01
2.387666799999999812e-01	5.418027521982686778e-01
2.388619199999999776e-01	4.603542311150569666e-01
2.389571599999999740e-01	3.492880660015864058e-01
2.390523999999999705e-01	2.678395449183746946e-01
2.391476399999999669e-01	1.567733798049041338e-01
2.392428799999999633e-01	6.421824221034534708e-02
2.393381199999999598e-01	-3.574130639177814511e-02
2.394333599999999840e-01	-1.208920329787722264e-01
2.395285999999999804e-01	-2.282559925884604102e-01
2.396238399999999769e-01	-3.171089246792368477e-01
2.397190799999999733e-01	-4.281750897927074084e-01
2.398143199999999697e-01	-5.207302273872661535e-01
2.399095599999999662e-01	-6.243919814931719880e-01
2.400047999999999626e-01	-7.206493245915132073e-01
2.401000399999999868e-01	-8.280132842012013494e-01
2.401952799999999832e-01	-8.983551887730659713e-01
2.402905199999999797e-01	1.037898289705103672e+00
2.403857599999999761e-01	9.268321245916332218e-01
2.404809999999999726e-01	8.564902200197686000e-01
2.405762399999999690e-01	7.528284659138626544e-01
2.406714799999999654e-01	6.565711228155215462e-01
2.407667199999999619e-01	5.603137797171804380e-01
2.408619599999999861e-01	4.529498201074922403e-01
2.409571999999999825e-01	3.529902715053687690e-01
2.410524399999999789e-01	2.530307229032452421e-01
2.411476799999999754e-01	1.567733798049041338e-01
2.412429199999999718e-01	8.272926972925710720e-02
2.413381599999999683e-01	-3.944351189556049436e-02
2.414333999999999647e-01	-1.282964439863369388e-01
2.415286399999999611e-01	-2.171493760771133763e-01
2.416238799999999853e-01	-3.430243632057133341e-01
2.417191199999999818e-01	-4.318772952964897716e-01
2.418143599999999782e-01	-5.392412549061779137e-01
2.419095999999999747e-01	-6.095831594780426466e-01
2.420048399999999711e-01	-7.169471190877307887e-01
2.421000799999999675e-01	-8.095022566822895893e-01
2.421953199999999640e-01	-9.168662162919777314e-01
2.422905599999999604e-01	1.037898289705103672e+00
2.423857999999999846e-01	9.305343300954155294e-01
2.424810399999999810e-01	8.305747814932921136e-01
2.425762799999999775e-01	7.491262604100803468e-01
2.426715199999999739e-01	6.602733283193039648e-01
2.427667599999999704e-01	5.418027521982686778e-01
2.428619999999999668e-01	4.492476146037098772e-01
2.429572399999999632e-01	3.715012990242805291e-01
2.430524799999999597e-01	2.789461614297217285e-01
2.431477199999999839e-01	1.715822018200335308e-01
2.432429599999999803e-01	6.792044771412769633e-02
2.433381999999999767e-01	-4.314571739934284361e-02
2.434334399999999732e-01	-1.282964439863369388e-01
2.435286799999999696e-01	-2.208515815808957117e-01
2.436239199999999661e-01	-3.208111301830192108e-01
2.437191599999999625e-01	-3.985574457624485589e-01
2.438143999999999867e-01	-5.281346383948308798e-01
2.439096399999999831e-01	-6.169875704856072618e-01
2.440048799999999796e-01	-7.132449135839484811e-01
2.441001199999999760e-01	-8.132044621860718969e-01
2.441953599999999724e-01	-8.983551887730659713e-01
2.442905999999999689e-01	1.037898289705103672e+00
2.443858399999999653e-01	9.231299190878509142e-01
2.444810799999999618e-01	8.416813980046391475e-01
2.445763199999999860e-01	7.491262604100803468e-01
2.446715599999999824e-01	6.454645063041745123e-01
