# f  Gain  sGain  Phase sPhase
2.146141197858404581e+01 5.940146954091830578e-01 1.674896752602728772e-04 4.985883168773382890e-01 9.197983954291707358e-05
2.273965752357928594e+01 6.019529362489601798e-01 2.578855776383718289e-04 4.743405113450276378e-01 8.187385371156187259e-05
2.409403560239525532e+01 6.092048025447323045e-01 2.241600814493075800e-04 4.507671243088262059e-01 1.035894129217795873e-04
2.552908068239517902e+01 6.158596267690431558e-01 2.041427512281154518e-04 4.280813588884144205e-01 8.053887479077830220e-05
2.704959730463135514e+01 6.221471625052094057e-01 1.973083591050219931e-04 4.061750286521663700e-01 9.800586118106543174e-05
2.866067616948251739e+01 6.279597081134566938e-01 3.736184767879657028e-04 3.850478000916675025e-01 1.019012202734447063e-04
3.036771118035458983e+01 6.329483691480639607e-01 6.078867452428548136e-04 3.647721001137028130e-01 8.119273875839650247e-05
3.217641750250736976e+01 6.374497147805180397e-01 7.606624212010397066e-04 3.452687217765951777e-01 9.630908975229124055e-05
3.409285069746812979e+01 6.404873166947593344e-01 8.342226054821785244e-04 3.266211661872170935e-01 9.730818419563007295e-05
3.612342699709432026e+01 6.439986199475757900e-01 4.680784191917732799e-04 3.087081681841407632e-01 1.060197478118679332e-04
3.827494478516312881e+01 6.476162302105880064e-01 2.689693090789032921e-04 2.916032374629778934e-01 8.893189301668671400e-05
4.055460735840829756e+01 6.512480877959376802e-01 3.963405633414352034e-04 2.752858876049124603e-01 6.956074182801385761e-05
4.297004704320841739e+01 6.541507985237733358e-01 3.799483442124758120e-04 2.596610436723600923e-01 8.430320808676549271e-05
4.552935074866950060e+01 6.570457769179613994e-01 2.716974148599445179e-04 2.447385576534425733e-01 8.559528388715377111e-05
4.824108704165371364e+01 6.593296464635051146e-01 4.632376022218028314e-04 2.305069260366745809e-01 9.454519825895307480e-05
5.111433483440168146e+01 6.604823370722809894e-01 6.104317910223570291e-04 2.168824591431927629e-01 1.008690478381341695e-04
5.415871378079473430e+01 6.622618935863907597e-01 4.045517016857777428e-04 2.039218852689367867e-01 8.427371657840011701e-05
5.738441648302395492e+01 6.642202527036925597e-01 3.605470403141259684e-04 1.915711478595266692e-01 7.397377098916642195e-05
6.080224261649424022e+01 6.658425284369366981e-01 4.886644873731352126e-04 1.797441269929522523e-01 7.503921859803357945e-05
6.442363508721373933e+01 6.666090186384466820e-01 6.414125433219378461e-04 1.685032206899760854e-01 8.433263201611646248e-05
6.826071834272389083e+01 6.676588213960300555e-01 5.823201247667497693e-04 1.577259815484533256e-01 7.091878613373039290e-05
7.232633896483537228e+01 6.689217681534096460e-01 4.472801391468516881e-04 1.474965168594082054e-01 9.887575053659565950e-05
7.663410868007458987e+01 6.700369175325449067e-01 4.588726848160034179e-04 1.376722565866777825e-01 5.890593781541604232e-05
8.119844993184013049e+01 6.705180316717506139e-01 4.046077148499431530e-04 1.283293500691939093e-01 9.840066630240216149e-05
8.603464416684504101e+01 6.715563876143986199e-01 3.581116936164047506e-04 1.193579947887249831e-01 8.007792843695432379e-05
9.115888299750822910e+01 6.718465457087713366e-01 3.808427106922160116e-04 1.107213697037022909e-01 8.434532529439731433e-05
9.658832241158702914e+01 6.727699757372801459e-01 3.069419274836888371e-04 1.025049123131718254e-01 7.521607522974259417e-05
1.023411402105453760e+02 6.730876959746179278e-01 3.781093668039131519e-04 9.456441946663174392e-02 9.401463292268516666e-05
1.084365968689610895e+02 6.734142915954266506e-01 1.907173020688660383e-04 8.692198241149057258e-02 8.058276125731873331e-05
1.148951000187309717e+02 6.739926740562729446e-01 3.481927928973403848e-04 7.961939910166131174e-02 8.222362996596813253e-05
1.217382727739662016e+02 6.743014867430077164e-01 2.391630228698457203e-04 7.251981798986072147e-02 7.608949971237080341e-05
